"subjid","condition","gamble_order_exp","type","reward","probability","choicenum","bdm","rt","payoffPos"
115,1,13,"1",281,88,14,219,11.728,"bottom"
115,1,5,"1",69,97,6,65,14.944,"bottom"
115,1,2,"1",24,99,3,23,9.949,"bottom"
115,1,61,"1",1013,57,62,812,6.759,"bottom"
115,1,45,"1",846,64,46,657,12.103,"bottom"
115,1,47,"1",934,66,48,731,4.334,"bottom"
115,1,25,"1",667,78,26,556,11.869,"bottom"
115,1,67,"1",1170,57,68,773,4.277,"bottom"
115,1,89,"1",1524,33,90,711,5.2,"bottom"
115,1,93,"1",1682,33,94,622,15.51,"bottom"
115,1,83,"1",1462,45,84,1014,6.73,"bottom"
115,1,58,"1",977,61,59,676,9.138,"bottom"
115,1,1,"1",7,100,2,7,9.789,"bottom"
115,1,91,"1",1623,38,92,704,8.644,"bottom"
115,1,71,"1",1278,54,72,738,3.606,"bottom"
115,1,9,"1",172,93,10,165,9.894,"bottom"
115,1,82,"1",1446,44,83,798,8.27,"bottom"
115,1,77,"1",1285,50,78,673,5.166,"bottom"
115,1,73,"1",1208,47,74,634,8,"bottom"
115,1,92,"1",1603,38,93,622,4.075,"bottom"
115,1,22,"1",528,82,23,467,18.873,"bottom"
115,1,19,"1",475,84,20,425,10.53,"bottom"
115,1,36,"1",784,72,37,607,22.415,"bottom"
115,1,88,"1",1651,40,89,785,7.831,"bottom"
115,1,75,"1",1209,45,76,657,11.847,"bottom"
115,1,95,"1",1732,31,96,653,4.797,"bottom"
115,1,99,"1",1722,32,100,688,5.864,"bottom"
115,1,44,"1",803,70,45,688,9.213,"bottom"
115,1,52,"1",877,59,53,638,5.274,"bottom"
115,1,86,"1",1508,39,87,719,5.315,"bottom"
115,1,18,"1",387,82,19,320,12.766,"bottom"
115,1,90,"1",1483,39,91,735,9.583,"bottom"
115,1,70,"1",1160,52,71,622,11.117,"bottom"
115,1,96,"1",1667,37,97,785,20.743,"bottom"
115,1,24,"1",542,80,25,480,11.803,"bottom"
115,1,49,"1",889,68,50,735,13.565,"bottom"
115,1,4,"1",78,98,5,78,11.742,"bottom"
115,1,66,"1",1191,59,67,874,6.29,"bottom"
115,1,87,"1",1511,37,88,750,7.368,"bottom"
115,1,14,"1",321,87,15,289,6.778,"bottom"
115,1,21,"1",494,78,22,400,7.697,"bottom"
115,1,3,"1",31,99,4,31,6.143,"bottom"
115,1,39,"1",727,69,40,622,7.857,"bottom"
115,1,50,"1",970,65,51,781,9.68,"bottom"
115,1,37,"1",758,71,38,599,16.881,"bottom"
115,1,33,"1",651,69,34,500,12.639,"bottom"
115,1,68,"1",1119,54,69,680,5.863,"bottom"
115,1,51,"1",898,60,52,673,7.079,"bottom"
115,1,94,"1",1625,37,95,599,7.268,"bottom"
115,1,43,"1",763,66,44,587,9.816,"bottom"
115,1,57,"1",1046,60,58,580,6.219,"bottom"
115,1,38,"1",839,73,39,657,41.362,"bottom"
115,1,72,"1",1277,54,73,669,5.983,"bottom"
115,1,11,"1",190,92,12,180,12.166,"bottom"
115,1,26,"1",634,75,27,475,6.083,"bottom"
115,1,62,"1",1093,56,63,611,25.451,"bottom"
115,1,30,"1",695,75,31,556,5.855,"bottom"
115,1,98,"1",1722,33,99,622,5.897,"bottom"
115,1,20,"1",483,83,21,415,15.251,"bottom"
115,1,54,"1",969,60,55,700,6.452,"bottom"
115,1,15,"1",363,83,16,300,6.017,"bottom"
115,1,41,"1",749,69,42,600,12.022,"bottom"
115,1,74,"1",1307,53,75,700,7.946,"bottom"
115,1,100,"1",1796,30,101,666,15.484,"bottom"
115,1,65,"1",1111,54,66,657,4.159,"bottom"
115,1,46,"1",813,66,47,610,11.194,"bottom"
115,1,17,"1",359,84,18,295,10.166,"bottom"
115,1,40,"1",752,72,41,552,5.191,"bottom"
115,1,16,"1",416,85,17,366,16.085,"bottom"
115,1,56,"1",973,58,57,673,20.673,"bottom"
115,1,12,"1",279,88,13,255,13.296,"bottom"
115,1,59,"1",1001,61,60,650,16.997,"bottom"
115,1,8,"1",110,95,9,105,9.659,"bottom"
115,1,81,"1",1305,47,82,642,5.648,"bottom"
115,1,76,"1",1234,50,77,670,6.873,"bottom"
115,1,0,"1",3,100,1,3,6.86,"bottom"
115,1,29,"1",662,74,30,537,7.657,"bottom"
115,1,60,"1",1039,58,61,684,16.763,"bottom"
115,1,79,"1",1142,42,80,600,6.274,"bottom"
115,1,97,"1",1704,33,98,635,5.352,"bottom"
115,1,27,"1",521,76,28,440,9.792,"bottom"
115,1,53,"1",919,62,54,715,7.966,"bottom"
115,1,7,"1",101,97,8,100,5.169,"bottom"
115,1,85,"1",1560,39,86,789,6.559,"bottom"
115,1,63,"1",1128,59,64,700,14.199,"bottom"
115,1,23,"1",550,81,24,490,7.559,"bottom"
115,1,28,"1",597,74,29,500,8.284,"bottom"
115,1,10,"1",177,93,11,165,9.462,"bottom"
115,1,64,"1",944,57,65,690,13.877,"bottom"
115,1,110,"1",1844,24,111,480,23.377,"bottom"
115,1,154,"center",1423,42,5,695,12.474,"bottom"
115,1,167,"TL",43,94,8,38,6.186,"bottom"
115,1,152,"center",1061,50,3,560,13.56,"bottom"
115,1,150,"center",1181,60,1,618,3.816,"bottom"
115,1,151,"center",1116,50,2,607,4.692,"bottom"
115,1,132,"1",2195,14,133,428,16.345,"bottom"
115,1,134,"1",2244,11,135,300,34.684,"bottom"
115,1,106,"1",1744,29,107,719,10.804,"bottom"
115,1,140,"1",2345,7,141,300,7.359,"bottom"
115,1,139,"1",2316,6,140,300,8.823,"bottom"
115,1,124,"1",2062,19,125,556,8.669,"bottom"
115,1,146,"1",2456,2,147,111,6.824,"bottom"
115,1,142,"1",2383,4,143,157,7.551,"bottom"
115,1,144,"1",2448,2,145,149,3.73,"bottom"
115,1,148,"1",2461,1,149,107,4.868,"bottom"
115,1,101,"1",1745,30,102,746,8.771,"bottom"
115,1,127,"1",2151,16,128,359,5.285,"bottom"
115,1,105,"1",1768,32,106,688,6.35,"bottom"
115,1,170,"TR",2161,94,11,2141,16.87,"bottom"
115,1,158,"center",1336,50,9,835,7.664,"bottom"
115,1,129,"1",2172,14,130,359,2.567,"bottom"
115,1,119,"1",1935,21,120,564,7.212,"bottom"
115,1,147,"1",2463,2,148,118,5.998,"bottom"
115,1,160,"BL",297,12,1,49,15.431,"bottom"
115,1,143,"1",2423,4,144,142,4.933,"bottom"
115,1,109,"1",1830,26,110,533,5.754,"bottom"
115,1,125,"1",2145,15,126,440,14.851,"bottom"
115,1,163,"BR",2326,12,4,463,4.801,"bottom"
115,1,114,"1",1947,24,115,600,10.192,"bottom"
115,1,169,"TR",2326,82,10,1990,15.103,"bottom"
115,1,156,"center",1143,43,7,661,16.928,"bottom"
115,1,111,"1",1872,25,112,541,4.103,"bottom"
115,1,135,"1",2223,11,136,281,3.266,"bottom"
115,1,117,"1",2007,21,118,328,2.406,"bottom"
115,1,166,"TL",297,82,7,260,6.83,"bottom"
115,1,108,"1",1775,28,109,685,10.18,"bottom"
115,1,161,"BL",43,15,2,12,10.487,"bottom"
115,1,115,"1",1990,30,116,777,8.022,"bottom"
115,1,123,"1",2078,17,124,600,13.112,"bottom"
115,1,159,"center",1453,61,10,1056,9.813,"bottom"
115,1,155,"center",1019,39,6,587,7.331,"bottom"
115,1,164,"BR",2161,15,5,355,2.841,"bottom"
115,1,107,"1",1874,29,108,661,2.37,"bottom"
115,1,116,"1",2001,21,117,505,11.58,"bottom"
115,1,121,"1",1990,19,122,401,2.657,"bottom"
115,1,141,"1",2321,7,142,215,4.796,"bottom"
115,1,138,"1",2320,9,139,370,5.66,"bottom"
115,1,128,"1",2146,15,129,413,3.8,"bottom"
115,1,131,"1",2205,12,132,316,2.365,"bottom"
115,1,122,"1",2062,20,123,611,7.217,"bottom"
115,1,171,"TR",2069,82,12,1874,8.56,"bottom"
115,1,149,"1",2485,1,150,107,2.275,"bottom"
115,1,157,"center",1413,47,8,731,4.78,"bottom"
115,1,103,"1",1705,31,104,680,2.898,"bottom"
115,1,102,"1",1795,30,103,696,9.27,"bottom"
115,1,113,"1",1924,22,114,634,6.609,"bottom"
115,1,136,"1",2251,11,137,320,3.529,"bottom"
115,1,162,"BL",174,3,3,15,12.425,"bottom"
115,1,112,"1",1860,27,113,666,10.275,"bottom"
115,1,133,"1",2234,12,134,401,4.538,"bottom"
115,1,130,"1",2167,13,131,440,2.559,"bottom"
115,1,153,"center",1494,40,4,731,8.322,"bottom"
115,1,137,"1",2271,8,138,281,3.882,"bottom"
115,1,145,"1",2454,2,146,107,3.708,"bottom"
115,1,118,"1",1968,21,119,599,7.726,"bottom"
